ID,Label
0,Finance
1,Health
2,Science
3,Education
4,Technology
5,Technology
6,Politics
7,Politics
8,Fashion
9,Entertainment
10,Health
11,Entertainment
12,Technology
13,Fashion
14,Entertainment
15,Education
16,Health
17,Health
18,Travel
19,Health
20,Politics
21,Science
22,Health
23,Health
24,Health
25,Finance
26,Entertainment
27,Entertainment
28,Entertainment
29,Health
30,Health
31,Sports
32,Politics
33,Finance
34,Science
35,Entertainment
36,Fashion
37,Finance
38,Environment
39,Politics
40,Entertainment
41,Entertainment
42,Politics
43,Environment
44,Politics
45,Technology
46,Science
47,Environment
48,Science
49,Politics
50,Health
51,Education
52,Politics
53,Entertainment
54,Entertainment
55,Food
56,Sports
57,Technology
58,Sports
59,Sports
60,Education
61,Entertainment
62,Education
63,Science
64,Fashion
65,Entertainment
66,Entertainment
67,Health
68,Sports
69,Health
70,Education
71,Health
72,Entertainment
73,Health
74,Environment
75,Finance
76,Health
77,Politics
78,Entertainment
79,Science
80,Fashion
81,Entertainment
82,Education
83,Finance
84,Entertainment
85,Entertainment
86,Health
87,Science
88,Finance
89,Environment
90,Science
91,Politics
92,Health
93,Fashion
94,Science
95,Technology
96,Politics
97,Food
98,Health
99,Science
100,Sports
101,Health
102,Entertainment
103,Politics
104,Science
105,Entertainment
106,Education
107,Sports
108,Education
109,Health
110,Travel
111,Fashion
112,Environment
113,Technology
114,Environment
115,Entertainment
116,Entertainment
117,Environment
118,Health
119,Environment
120,Environment
121,Health
122,Politics
123,Sports
124,Politics
125,Health
126,Health
127,Education
128,Politics
129,Education
130,Entertainment
131,Health
132,Entertainment
133,Health
134,Entertainment
135,Health
136,Finance
137,Entertainment
138,Science
139,Technology
140,Sports
141,Fashion
142,Finance
143,Entertainment
144,Finance
145,Environment
146,Science
147,Finance
148,Entertainment
149,Health
150,Fashion
151,Entertainment
152,Fashion
153,Fashion
154,Politics
155,Entertainment
156,Science
157,Fashion
158,Science
159,Environment
160,Technology
161,Education
162,Science
163,Education
164,Environment
165,Environment
166,Education
167,Science
168,Science
169,Environment
170,Fashion
171,Sports
172,Politics
173,Health
174,Sports
175,Fashion
176,Environment
177,Environment
178,Entertainment
179,Health
180,Health
181,Politics
182,Fashion
183,Entertainment
184,Health
185,Fashion
186,Education
187,Entertainment
188,Entertainment
189,Education
190,Fashion
191,Education
192,Health
193,Health
194,Science
195,Health
196,Health
197,Politics
198,Environment
199,Fashion
