ID,Label
0,Finance
1,Environment
2,Science
3,Finance
4,Environment
5,Health
6,Politics
7,Politics
8,Fashion
9,Entertainment
10,Health
11,Entertainment
12,Technology
13,Fashion
14,Entertainment
15,Education
16,Health
17,Science
18,Environment
19,Health
20,Politics
21,Science
22,Environment
23,Environment
24,Health
25,Finance
26,Politics
27,Entertainment
28,Entertainment
29,Environment
30,Travel
31,Education
32,Politics
33,Finance
34,Science
35,Sports
36,Fashion
37,Politics
38,Environment
39,Politics
40,Entertainment
41,Entertainment
42,Travel
43,Environment
44,Travel
45,Sports
46,Travel
47,Environment
48,Science
49,Environment
50,Health
51,Education
52,Travel
53,Entertainment
54,Technology
55,Health
56,Sports
57,Technology
58,Sports
59,Sports
60,Education
61,Health
62,Education
63,Travel
64,Fashion
65,Food
66,Sports
67,Health
68,Sports
69,Health
70,Education
71,Health
72,Technology
73,Health
74,Environment
75,Finance
76,Health
77,Politics
78,Sports
79,Sports
80,Fashion
81,Sports
82,Environment
83,Finance
84,Health
85,Entertainment
86,Health
87,Politics
88,Finance
89,Environment
90,Science
91,Technology
92,Health
93,Fashion
94,Science
95,Technology
96,Finance
97,Health
98,Sports
99,Environment
100,Sports
101,Health
102,Entertainment
103,Finance
104,Environment
105,Entertainment
106,Education
107,Sports
108,Education
109,Health
110,Environment
111,Fashion
112,Environment
113,Technology
114,Fashion
115,Politics
116,Sports
117,Environment
118,Health
119,Environment
120,Environment
121,Health
122,Politics
123,Sports
124,Finance
125,Health
126,Health
127,Education
128,Politics
129,Education
130,Environment
131,Health
132,Health
133,Health
134,Entertainment
135,Health
136,Finance
137,Health
138,Travel
139,Science
140,Sports
141,Fashion
142,Finance
143,Environment
144,Finance
145,Environment
146,Science
147,Finance
148,Entertainment
149,Health
150,Fashion
151,Sports
152,Fashion
153,Fashion
154,Politics
155,Technology
156,Travel
157,Fashion
158,Science
159,Fashion
160,Technology
161,Education
162,Travel
163,Education
164,Environment
165,Environment
166,Education
167,Science
168,Science
169,Environment
170,Fashion
171,Sports
172,Health
173,Health
174,Sports
175,Fashion
176,Environment
177,Environment
178,Politics
179,Health
180,Health
181,Health
182,Fashion
183,Environment
184,Health
185,Fashion
186,Education
187,Technology
188,Politics
189,Education
190,Fashion
191,Education
192,Environment
193,Health
194,Environment
195,Health
196,Health
197,Finance
198,Environment
199,Fashion
