ID,Label
0,Finance
1,Environment
2,Science
3,Finance
4,Environment
5,Technology
6,Politics
7,Politics
8,Fashion
9,Entertainment
10,Health
11,Entertainment
12,Technology
13,Fashion
14,Entertainment
15,Education
16,Health
17,Science
18,Science
19,Food
20,Politics
21,Environment
22,Environment
23,Travel
24,Health
25,Entertainment
26,Politics
27,Entertainment
28,Entertainment
29,Environment
30,Travel
31,Education
32,Politics
33,Finance
34,Science
35,Entertainment
36,Fashion
37,Politics
38,Environment
39,Politics
40,Entertainment
41,Entertainment
42,Entertainment
43,Environment
44,Travel
45,Sports
46,Travel
47,Environment
48,Science
49,Environment
50,Health
51,Education
52,Technology
53,Entertainment
54,Technology
55,Food
56,Sports
57,Technology
58,Sports
59,Sports
60,Education
61,Health
62,Education
63,Travel
64,Fashion
65,Food
66,Sports
67,Science
68,Sports
69,Health
70,Education
71,Health
72,Technology
73,Health
74,Environment
75,Finance
76,Food
77,Politics
78,Sports
79,Sports
80,Fashion
81,Sports
82,Education
83,Finance
84,Health
85,Entertainment
86,Science
87,Politics
88,Finance
89,Politics
90,Science
91,Technology
92,Health
93,Fashion
94,Science
95,Technology
96,Finance
97,Food
98,Sports
99,Environment
100,Sports
101,Science
102,Technology
103,Finance
104,Environment
105,Entertainment
106,Politics
107,Sports
108,Education
109,Food
110,Environment
111,Fashion
112,Environment
113,Technology
114,Fashion
115,Politics
116,Sports
117,Environment
118,Food
119,Environment
120,Environment
121,Food
122,Politics
123,Sports
124,Entertainment
125,Food
126,Environment
127,Education
128,Politics
129,Education
130,Environment
131,Science
132,Health
133,Health
134,Entertainment
135,Health
136,Finance
137,Food
138,Travel
139,Technology
140,Sports
141,Fashion
142,Finance
143,Environment
144,Finance
145,Environment
146,Technology
147,Finance
148,Entertainment
149,Food
150,Fashion
151,Science
152,Fashion
153,Fashion
154,Politics
155,Technology
156,Technology
157,Technology
158,Politics
159,Fashion
160,Technology
161,Education
162,Travel
163,Education
164,Environment
165,Environment
166,Education
167,Science
168,Science
169,Environment
170,Fashion
171,Sports
172,Food
173,Health
174,Sports
175,Fashion
176,Health
177,Environment
178,Politics
179,Politics
180,Environment
181,Food
182,Fashion
183,Environment
184,Health
185,Fashion
186,Education
187,Technology
188,Politics
189,Education
190,Fashion
191,Education
192,Environment
193,Politics
194,Environment
195,Politics
196,Health
197,Politics
198,Environment
199,Fashion
